Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Hungary,MtCO2e,19.50,14.96,11.60,11.65,11.99,11.31,12.01,10.36,9.78,9.54,9.61,10.10,9.59,9.70,10.17,10.34,10.05,9.58,8.63,6.70,6.82,8.16,7.38,8.02,8.37,9.12,8.58,9.17,9.45,9.35
Finland,MtCO2e,16.29,15.38,14.72,14.22,15.61,14.06,14.01,14.48,15.99,15.49,13.84,13.74,13.47,13.27,13.60,13.29,13.26,13.03,12.81,10.29,11.44,10.82,10.06,9.96,9.92,9.79,9.92,9.80,10.10,9.23
Norway,MtCO2e,14.98,12.96,9.88,10.37,11.11,11.10,11.42,10.93,11.24,11.72,12.01,11.52,10.67,11.10,11.35,10.77,10.31,10.16,9.86,7.98,8.92,9.02,8.96,8.86,8.77,8.81,8.86,9.31,9.19,9.16
Switzerland,MtCO2e,9.51,9.58,9.09,8.72,8.65,8.99,8.69,8.18,8.34,8.80,8.44,8.86,8.28,8.61,8.82,8.94,9.41,9.40,9.46,8.86,9.22,8.88,8.88,8.99,8.89,8.51,8.60,8.54,8.38,8.35
Jordan,MtCO2e,2.09,1.76,2.65,2.81,3.38,3.27,3.34,3.40,3.37,3.44,3.67,3.78,3.95,4.00,4.61,5.01,5.46,5.69,5.48,5.48,5.25,4.87,5.64,5.67,6.46,6.23,7.00,6.93,7.29,7.67
Belarus,MtCO2e,8.82,8.59,7.05,7.01,5.38,4.52,5.10,5.27,5.85,5.60,4.50,4.71,4.77,5.42,5.98,6.29,6.38,6.71,7.15,6.84,7.41,7.45,8.03,8.19,8.58,7.22,7.18,7.16,7.13,7.63
Cuba,MtCO2e,13.74,9.37,7.49,6.78,6.87,7.61,8.33,10.61,11.05,12.44,12.14,12.90,9.15,6.89,6.21,7.66,9.17,9.63,8.52,8.19,8.89,8.11,8.65,8.67,5.81,7.70,6.42,6.97,7.02,7.43
Dominican Republic,MtCO2e,1.28,1.32,1.47,1.32,1.52,1.68,1.88,2.18,1.99,2.29,2.58,2.68,3.65,3.59,3.05,3.32,4.39,4.42,4.59,4.53,5.07,4.66,4.97,5.72,5.82,6.05,6.42,6.56,6.60,7.36
Ireland,MtCO2e,6.08,5.87,5.54,5.71,6.06,6.21,6.26,6.93,6.74,7.17,8.67,8.66,7.98,8.46,8.48,8.66,8.76,8.13,7.69,5.87,5.57,5.29,5.48,5.57,6.18,6.46,6.89,6.96,7.19,7.00
Bulgaria,MtCO2e,15.99,11.38,9.51,8.48,10.36,12.50,12.20,16.87,13.25,9.60,10.12,10.04,9.52,10.24,10.47,10.62,10.36,11.46,9.28,5.44,5.52,5.45,5.28,5.34,5.55,6.18,6.49,7.09,7.43,7.00
Nepal,MtCO2e,0.26,0.33,0.25,0.31,0.47,0.49,0.44,0.40,0.43,1.17,1.26,1.41,0.78,0.92,0.80,1.17,0.77,0.96,0.90,1.25,1.79,2.29,2.81,2.54,3.19,3.79,4.77,5.58,7.60,6.76
Bahrain,MtCO2e,0.21,0.23,0.28,0.31,0.39,0.43,0.53,0.64,0.76,0.82,0.89,0.95,0.97,0.99,1.13,1.17,1.28,1.39,1.51,1.75,2.44,2.76,3.26,4.15,4.86,4.94,5.31,5.49,6.00,6.33
Lebanon,MtCO2e,0.45,0.69,0.51,0.86,1.24,1.96,2.00,2.42,2.58,3.13,3.19,3.80,3.21,4.28,4.93,5.06,3.38,3.46,4.04,4.53,4.33,4.86,4.83,5.03,5.49,5.47,5.57,5.94,6.24,6.23
Trinidad and Tobago,MtCO2e,1.94,1.50,1.55,1.52,1.74,1.90,2.13,2.34,2.44,2.61,2.85,3.43,3.41,3.72,3.67,4.14,3.99,4.99,4.61,4.24,5.15,5.32,5.59,5.94,6.19,5.96,5.30,5.60,5.70,6.02
Syria,MtCO2e,4.48,5.19,5.53,6.20,6.62,6.96,7.32,6.97,8.11,8.06,7.40,7.81,7.55,8.06,6.87,8.75,9.56,10.54,10.85,9.42,11.21,10.13,8.97,6.56,5.66,5.40,5.53,5.91,5.85,5.62
Cambodia,MtCO2e,0.00,0.00,0.01,0.01,0.01,0.08,0.10,0.12,0.15,0.17,0.19,0.20,0.21,0.23,0.25,0.28,0.31,0.39,0.73,0.74,1.27,1.40,1.52,1.55,1.51,1.62,2.81,3.94,5.12,5.41
Ghana,MtCO2e,1.18,1.21,1.45,1.53,1.52,1.48,1.64,1.83,1.55,1.75,1.79,1.75,1.93,1.91,1.98,1.96,2.08,2.13,2.26,2.49,2.60,3.00,4.13,4.28,4.28,4.24,4.30,4.65,5.09,5.40
Denmark,MtCO2e,7.42,7.98,7.84,7.84,7.94,8.37,8.42,8.42,8.36,8.64,8.53,8.65,8.22,8.32,8.29,8.00,8.13,7.91,7.07,5.70,5.72,5.83,5.45,5.20,5.15,5.08,5.34,5.60,5.48,5.30
Ecuador,MtCO2e,3.49,3.64,3.85,3.51,3.83,3.94,4.48,4.47,4.50,4.11,4.16,4.16,4.42,4.34,4.47,4.71,4.75,4.20,4.92,5.21,5.35,5.61,5.95,6.69,6.98,6.34,5.17,5.16,5.53,5.30
Serbia,MtCO2e,10.37,7.79,7.85,5.00,4.47,3.70,8.25,8.31,9.88,5.91,6.92,6.82,7.35,8.77,10.66,9.16,10.14,10.84,10.18,6.43,7.30,8.01,7.12,6.19,5.52,5.30,5.69,5.51,5.89,5.13
C̫te d'Ivoire,MtCO2e,0.40,0.44,0.46,0.50,0.52,0.56,0.72,0.89,0.86,1.19,1.26,1.28,1.26,1.12,1.16,1.03,1.31,1.32,1.59,2.21,2.25,2.44,2.78,3.31,3.61,3.96,3.62,4.67,4.67,5.02
Tanzania,MtCO2e,0.63,0.65,0.65,0.70,0.61,0.71,0.77,0.70,0.86,0.95,0.97,0.93,0.97,1.04,1.10,1.18,1.21,1.31,1.35,1.42,1.62,2.08,2.18,2.35,3.03,3.33,3.56,4.26,4.59,4.93
Senegal,MtCO2e,0.43,0.47,0.54,0.54,0.62,0.69,0.76,0.86,1.05,1.20,1.28,1.53,1.65,1.55,2.17,2.13,2.09,2.50,2.54,2.76,3.08,3.74,3.73,4.06,4.39,4.60,5.04,4.42,4.80,4.75
Turkmenistan,MtCO2e,1.04,0.98,1.11,1.26,1.28,1.24,1.15,1.19,1.19,1.33,1.37,1.27,1.12,1.35,1.62,1.64,1.82,1.84,2.15,2.65,2.75,3.45,3.82,4.03,4.25,4.41,4.46,4.48,4.53,4.51
Tajikistan,MtCO2e,false,0.16,0.52,0.64,0.75,0.92,0.86,0.82,0.77,0.74,0.72,0.70,0.69,0.70,0.68,0.68,0.68,0.67,0.58,0.56,0.59,0.57,0.63,0.64,0.97,1.09,1.96,3.44,4.18,4.25
Bolivia,MtCO2e,1.05,1.02,1.03,1.05,1.19,1.32,1.22,1.35,1.51,1.55,1.44,1.36,1.44,1.53,1.66,1.79,2.09,2.19,2.33,2.61,2.71,3.00,3.17,3.53,3.83,3.90,4.01,4.11,4.19,4.17
Sudan,MtCO2e,0.81,0.99,0.82,0.19,0.93,0.70,0.46,0.82,0.68,0.93,0.82,0.77,0.78,0.85,0.93,1.32,1.86,2.19,2.00,3.15,4.53,3.60,3.72,3.32,3.42,3.61,4.01,3.99,4.05,4.12
Croatia,MtCO2e,7.38,4.99,6.40,6.73,7.94,8.32,7.75,7.70,7.04,6.61,6.39,6.40,6.00,5.78,6.16,6.04,6.29,6.42,6.37,5.24,5.25,4.92,4.45,4.12,4.17,4.09,3.82,4.17,4.09,4.02
