Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Armenia,MtCO2e,3.06,3.00,1.89,1.23,0.16,0.12,0.06,0.07,0.07,0.07,0.59,0.59,0.56,0.61,0.63,0.70,0.69,1.11,1.32,1.20,1.32,1.36,1.37,1.34,1.78,1.73,1.65,1.75,1.88,2.15
Cyprus,MtCO2e,1.19,1.19,1.34,1.36,1.41,1.50,1.55,1.62,1.70,1.74,1.78,1.84,1.82,1.93,2.04,2.08,2.07,2.20,2.25,2.25,2.30,2.23,2.06,1.85,1.80,1.87,1.99,2.06,2.07,2.09
Cuba,MtCO2e,5.21,3.82,2.66,2.00,1.94,2.02,2.26,2.82,2.55,2.41,2.22,2.27,2.12,1.94,2.02,1.97,1.88,1.90,1.87,1.45,1.28,1.25,1.09,1.27,1.43,1.53,1.53,1.68,1.70,1.80
Guinea,MtCO2e,0.27,0.28,0.28,0.29,0.29,0.30,0.32,0.35,0.40,0.43,0.46,0.50,0.53,0.57,0.61,0.64,0.67,0.70,0.71,0.77,0.94,1.00,1.07,1.08,1.20,1.37,1.43,1.72,1.46,1.53
Haiti,MtCO2e,0.44,0.41,0.42,0.39,0.12,0.52,0.58,0.59,0.65,0.68,0.73,0.80,0.84,0.81,0.79,0.80,0.80,0.97,0.94,0.96,1.10,1.13,0.99,0.92,1.20,1.44,1.46,1.48,1.50,1.51
Republic of Congo,MtCO2e,0.53,0.55,0.48,0.48,0.30,0.43,0.32,0.25,0.32,0.31,0.43,0.56,0.43,0.61,0.72,0.74,0.90,0.98,1.20,1.31,1.51,1.68,1.67,1.98,2.09,1.77,1.51,1.35,1.37,1.36
Brunei,MtCO2e,0.57,0.62,0.67,0.70,0.74,0.80,0.86,0.90,0.85,0.84,0.83,0.87,0.91,0.95,1.00,0.98,1.06,1.16,1.16,1.15,1.21,1.32,1.38,1.36,1.39,1.40,1.38,1.37,1.39,1.36
Kyrgyzstan,MtCO2e,6.18,4.77,2.78,1.62,0.51,1.15,1.21,1.29,1.26,1.17,0.87,0.91,0.80,0.96,1.22,1.12,1.20,1.80,2.02,2.34,2.04,2.85,4.05,4.05,3.25,2.76,3.42,1.91,1.55,1.20
Iceland,MtCO2e,0.65,0.65,0.65,0.65,0.68,0.63,0.70,0.60,0.63,0.64,0.65,0.66,0.66,0.66,0.69,0.69,0.92,0.99,0.94,0.91,0.87,0.84,0.82,0.84,0.84,0.87,0.95,1.01,1.05,1.04
Guyana,MtCO2e,0.27,0.24,0.24,0.24,0.42,0.44,0.49,0.53,0.53,0.60,0.56,0.58,0.56,0.56,0.58,0.55,0.51,0.57,0.57,0.61,0.62,0.66,0.68,0.65,0.71,0.70,0.78,0.79,0.81,0.91
Chad,MtCO2e,0.26,0.27,0.29,0.29,0.30,0.31,0.32,0.34,0.34,0.35,0.13,0.15,0.18,0.20,0.20,0.21,0.28,0.27,0.32,0.42,0.85,0.75,0.99,1.02,1.05,1.02,0.93,0.81,0.78,0.81
Fiji,MtCO2e,0.41,0.42,0.44,0.43,0.41,0.43,0.43,0.42,0.41,0.41,0.45,0.55,0.44,0.47,0.55,0.55,0.59,0.58,0.43,0.42,0.53,0.54,0.51,0.58,0.64,0.64,0.76,0.81,0.80,0.81
Bahamas,MtCO2e,0.24,0.22,0.22,0.18,0.17,0.21,0.19,0.19,0.20,0.20,0.19,0.20,0.21,0.21,0.20,0.21,0.24,0.24,0.25,0.99,0.46,0.59,0.76,0.67,0.59,0.36,0.32,0.41,0.71,0.72
Liberia,MtCO2e,0.11,0.08,0.09,0.10,0.10,0.10,0.11,0.11,0.12,0.12,0.13,0.19,0.23,0.25,0.31,0.34,0.37,0.33,0.27,0.29,0.43,0.50,0.55,0.54,0.75,0.80,0.87,0.76,0.66,0.69
Bhutan,MtCO2e,0.04,0.04,0.05,0.05,0.05,0.07,0.08,0.08,0.09,0.10,0.11,0.12,0.14,0.16,0.18,0.20,0.19,0.20,0.20,0.22,0.28,0.34,0.40,0.41,0.40,0.42,0.52,0.57,0.64,0.64
Burundi,MtCO2e,0.13,0.16,0.13,0.14,0.14,0.15,0.16,0.16,0.16,0.17,0.19,0.14,0.17,0.13,0.12,0.14,0.16,0.16,0.16,0.16,0.26,0.31,0.31,0.31,0.31,0.33,0.38,0.44,0.56,0.60
Equatorial Guinea,MtCO2e,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.09,0.08,0.12,0.37,0.22,0.60,0.69,0.71,0.78,0.85,0.89,0.90,0.91,0.92,0.92,0.94,1.00,0.84,0.73,0.61,0.55,0.52,0.57
Lesotho,MtCO2e,0.24,0.25,0.25,0.25,0.25,0.26,0.26,0.26,0.26,0.27,0.27,0.27,0.28,0.28,0.28,0.31,0.31,0.32,0.35,0.38,0.40,0.41,0.44,0.42,0.43,0.47,0.50,0.50,0.53,0.56
Belize,MtCO2e,0.11,0.14,0.28,0.26,0.25,0.28,0.20,0.29,0.29,0.26,0.28,0.28,0.26,0.26,0.26,0.27,0.28,0.31,0.34,0.96,0.35,0.54,0.50,0.37,0.40,0.53,0.50,0.48,0.46,0.46
Barbados,MtCO2e,0.27,0.27,0.36,0.31,0.32,0.33,0.28,0.34,0.38,0.38,0.38,0.40,0.43,0.43,0.42,0.44,0.45,0.45,0.51,1.36,0.47,0.54,0.65,0.42,0.41,0.42,0.43,0.44,0.43,0.43
Cape Verde,MtCO2e,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.05,0.06,0.07,0.07,0.08,0.09,0.11,0.23,0.27,0.27,0.23,0.25,0.26,0.29,0.27,0.25,0.24,0.24,0.26,0.28,0.28,0.30
Eritrea,MtCO2e,false,false,0.12,0.22,0.30,0.34,0.39,0.37,0.24,0.22,0.21,0.26,0.28,0.28,0.26,0.19,0.14,0.13,0.12,0.12,0.15,0.16,0.17,0.18,0.18,0.19,0.19,0.23,0.26,0.27
Antigua and Barbuda,MtCO2e,0.10,0.10,0.14,0.13,0.13,0.14,0.14,0.14,0.15,0.16,0.15,0.16,0.18,0.18,0.18,0.18,0.19,0.19,0.20,0.61,0.19,0.20,0.27,0.18,0.19,0.20,0.21,0.21,0.21,0.21
Central African Republic,MtCO2e,0.08,0.09,0.09,0.09,0.10,0.10,0.10,0.10,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.12,0.12,0.10,0.10,0.12,0.13,0.14,0.09,0.11,0.17,0.19,0.20,0.20,0.21
Gabon,MtCO2e,0.33,0.40,0.38,0.40,0.32,0.35,0.35,0.39,0.42,0.40,0.33,0.37,0.40,0.36,0.38,0.38,0.38,0.43,0.44,0.42,0.65,0.74,0.77,0.87,0.85,0.83,0.88,0.21,0.20,0.20
Comoros,MtCO2e,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.07,0.09,0.09,0.09,0.11,0.05,0.06,0.08,0.09,0.08,0.08,0.12,0.10,0.11,0.14,0.15,0.17,0.18
Djibouti,MtCO2e,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.07,0.10,0.11,0.07,0.07,0.06,0.06,0.06,0.07,0.07,0.08,0.08,0.07,0.09,0.08,0.07,0.10,0.12,0.11,0.14,0.14,0.14,0.15
Guinea-Bissau,MtCO2e,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.06,0.06,0.08,0.02,0.02,0.03,0.07,0.08,0.08,0.09,0.09,0.08,0.10,0.10,0.10,0.10,0.11,0.11,0.11,0.11,0.11,0.11,0.12
Grenada,MtCO2e,0.04,0.04,0.06,0.05,0.06,0.06,0.08,0.08,0.09,0.09,0.08,0.09,0.10,0.10,0.10,0.10,0.11,0.11,0.11,0.33,0.11,0.12,0.15,0.10,0.11,0.10,0.10,0.10,0.11,0.11
Gambia,MtCO2e,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.11,0.12,0.12,0.12,0.12,0.12,0.16,0.16,0.22,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.09
Dominica,MtCO2e,0.04,0.04,0.05,0.05,0.05,0.05,0.04,0.05,0.06,0.06,0.08,0.09,0.07,0.08,0.07,0.06,0.06,0.06,0.06,0.17,0.06,0.06,0.08,0.05,0.06,0.06,0.06,0.05,0.06,0.06
Cook Islands,MtCO2e,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06
Kiribati,MtCO2e,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.03,0.04,0.04,0.03,0.04,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.04
Liechtenstein,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Russia,MtCO2e,305.91,299.93,287.08,240.84,211.38,194.98,185.33,170.22,200.26,201.99,193.14,199.69,202.76,211.71,226.59,225.30,233.90,235.42,250.29,233.26,249.18,255.00,242.56,244.03,246.78,245.94,245.40,251.39,264.77,262.39
Mexico,MtCO2e,86.12,92.16,92.47,94.61,100.44,92.17,94.55,98.68,101.32,104.11,108.79,111.14,113.12,119.91,126.49,134.18,141.58,149.57,155.74,152.19,155.15,156.25,157.11,155.20,155.79,155.09,160.63,155.99,151.88,151.78
